customer_id,tenure_months,monthly_charges,support_tickets,satisfaction_score,region,plan_type,customer_lifetime_value
300238,22.4,115.06,4,7.1,South,Premium,8347.77
300239,31.8,78.83,5,2.6,West,Basic,4878.97
300240,5.9,59.09,1,4.6,West,Basic,3880.93
300241,17.7,89.76,4,6.9,South,Premium,6913.96
300242,6.1,67.55,2,7.4,South,Standard,4233.54
300243,6.6,74.13,5,6.0,South,Premium,4085.28
300244,3.3,104.12,9,6.4,North,Premium,6062.73
300245,34.7,99.66,3,3.7,South,Basic,6471.44
300246,32.0,108.02,3,9.5,South,Basic,6560.99
300247,33.2,79.91,6,5.6,North,Standard,5934.03
300248,11.2,112.22,5,7.7,West,Basic,6203.56
300249,29.0,88.34,4,8.8,East,Standard,6581.46
300250,6.3,81.18,5,4.2,South,Standard,4012.76
300251,5.3,61.63,2,6.5,East,Premium,5991.44
300252,11.4,37.84,3,6.8,South,Premium,4901.26
300253,30.6,50.47,2,5.8,East,Basic,4967.22
300254,18.2,93.17,2,8.0,South,Basic,5463.82
300255,10.3,66.22,1,5.1,North,Premium,6006.04
300256,9.8,48.51,1,6.4,South,Basic,3869.38
300257,34.7,77.93,5,5.6,West,Basic,5099.42
300258,25.7,94.71,4,10.0,East,Basic,6441.74
300259,36.0,97.96,3,5.1,East,Basic,6203.07
300260,34.3,87.31,3,7.6,West,Basic,5939.7
300261,2.6,86.54,2,9.5,West,Basic,5810.11
300262,31.5,75.08,1,4.6,West,Basic,5347.5
300263,26.1,103.21,4,6.5,North,Premium,7059.99
300264,6.9,83.76,2,4.5,North,Basic,3634.55
300265,11.3,86.17,0,2.7,West,Premium,6580.4
300266,13.4,112.91,2,4.9,West,Standard,6874.87
300267,48.8,107.01,7,5.3,South,Standard,6212.89
300268,16.0,83.56,3,5.4,West,Premium,6679.59
300269,25.3,80.15,5,5.8,East,Standard,4934.58
300270,31.2,79.96,2,6.3,North,Basic,6018.87
300271,10.7,39.49,3,4.1,West,Standard,3319.31
300272,34.1,114.33,3,6.9,West,Basic,6951.6
300273,14.7,71.56,5,8.5,South,Basic,5237.14
300274,71.3,108.51,1,8.7,East,Premium,10336.93
300275,6.8,89.0,5,5.8,South,Premium,5395.17
300276,13.6,121.4,8,7.9,East,Standard,6821.94
300277,32.2,100.71,4,5.1,South,Standard,6361.65
300278,8.5,109.89,1,5.7,South,Standard,5957.59
300279,27.3,73.79,4,7.0,East,Basic,5565.8
300280,11.9,57.15,0,5.7,North,Basic,5516.46
300281,5.9,91.54,4,4.0,North,Standard,5745.64
300282,4.9,41.99,2,7.8,North,Basic,3492.75
300283,17.7,76.77,3,4.8,South,Basic,3746.39
300284,21.5,59.45,4,5.4,South,Standard,5289.71
300285,6.5,67.85,5,8.2,South,Standard,4675.61
300286,22.9,102.3,5,7.3,South,Basic,4452.09
300287,4.5,100.72,2,6.6,North,Premium,6608.62
300288,10.9,84.11,2,3.7,West,Premium,5522.51
300289,14.4,95.68,8,4.2,East,Standard,4441.48
300290,13.5,75.02,2,7.0,East,Basic,5722.36
300291,17.0,146.24,3,7.4,North,Standard,7749.85
300292,14.0,95.22,4,6.8,East,Standard,6585.57
300293,12.5,73.83,3,5.4,South,Standard,5122.8
300294,12.5,109.01,2,5.4,East,Standard,5586.64
300295,9.1,117.76,4,6.7,North,Basic,5985.59
300296,23.2,69.42,3,4.0,East,Basic,4830.52
300297,12.6,53.95,2,6.5,West,Premium,5687.79
300298,8.3,58.71,6,3.8,West,Basic,3181.41
300299,22.2,71.92,4,4.4,West,Standard,4651.84
300300,19.9,86.7,4,6.6,North,Premium,7246.89
300301,6.2,48.9,3,7.3,South,Basic,3606.32
300302,38.5,77.96,3,6.9,South,Premium,8823.95
300303,11.0,83.01,0,4.3,South,Premium,5302.4
300304,11.4,95.8,4,2.9,East,Premium,7292.2
300305,14.8,102.68,1,6.3,East,Premium,6813.98
300306,19.4,97.64,9,2.9,West,Premium,5863.72
300307,15.3,131.01,6,8.0,West,Basic,7088.41
300308,7.7,114.26,5,4.4,South,Standard,4777.31
300309,2.9,93.33,7,10.0,West,Basic,5591.24
300310,38.0,64.71,1,4.6,West,Premium,6445.93
300311,6.8,71.79,2,7.1,East,Standard,5617.54
300312,21.0,53.71,1,5.0,South,Premium,5718.87
300313,15.2,91.68,1,6.0,South,Basic,5359.82
300314,2.2,95.95,7,6.6,South,Basic,3947.14
300315,9.0,109.43,2,7.8,North,Premium,8052.19
300316,44.1,94.42,3,8.1,South,Standard,7050.27
300317,3.1,113.3,3,7.6,North,Standard,6230.05
300318,11.7,113.79,2,8.2,South,Premium,8335.44
300319,19.4,63.33,7,5.2,East,Basic,3997.72
300320,6.9,75.57,5,7.5,North,Basic,3987.41
300321,16.5,87.74,1,5.7,West,Basic,4984.23
300322,22.4,71.05,3,8.1,North,Premium,5763.81
300323,20.4,82.16,0,6.5,South,Basic,6380.85
300324,16.5,95.23,1,7.4,South,Standard,7083.96
300325,13.2,85.05,9,6.8,South,Premium,4597.12
300326,7.1,88.01,5,7.7,South,Premium,6468.57
300327,21.9,65.38,3,4.8,East,Standard,6333.57
300328,15.0,100.15,2,3.5,South,Standard,4583.38
300329,48.1,98.4,4,8.1,South,Premium,8018.25
300330,25.9,69.7,6,8.7,South,Premium,5409.63
300331,10.2,56.96,2,6.1,North,Premium,6397.14
300332,17.9,117.53,3,7.8,West,Standard,7247.35
300333,5.3,129.96,4,3.4,South,Premium,6111.83
300334,2.7,93.63,4,5.2,North,Premium,6166.22
300335,10.0,79.32,5,6.4,West,Premium,5433.05
300336,4.4,113.11,3,3.2,East,Premium,5863.77
300337,24.1,99.29,1,3.5,South,Basic,5717.42
300338,45.2,82.94,7,6.6,West,Premium,6658.59
300339,31.6,111.23,4,5.2,South,Standard,6367.25
300340,11.3,68.57,3,5.7,South,Basic,4144.62
300341,24.8,71.42,4,5.6,West,Basic,4921.51
300342,9.5,96.73,7,4.0,West,Basic,4414.51
300343,34.3,90.74,1,5.9,South,Standard,7238.16
300344,22.4,103.29,3,6.3,North,Basic,5440.53
300345,14.8,116.64,4,5.3,East,Standard,7187.52
300346,14.1,50.74,0,5.4,East,Premium,5755.64
300347,22.4,88.93,2,5.9,South,Basic,5384.1
300348,14.2,133.63,1,7.8,West,Basic,6916.05
300349,30.4,73.68,4,6.1,North,Basic,6797.49
300350,11.1,70.85,2,2.8,West,Premium,6643.27
300351,13.1,34.22,2,4.2,West,Basic,4375.25
300352,13.6,90.44,2,8.0,South,Basic,5876.08
300353,12.3,101.93,3,5.1,South,Basic,5373.14
300354,7.5,101.89,1,6.1,North,Basic,6960.75
300355,10.5,63.11,2,9.8,East,Premium,6566.25
300356,14.6,87.79,6,7.4,South,Premium,6466.05
300357,13.8,93.32,9,2.4,East,Basic,3482.59
300358,41.2,89.25,6,8.9,South,Standard,8162.47
300359,19.5,61.72,5,6.6,South,Standard,5674.35
300360,35.5,89.86,7,7.0,North,Premium,7105.98
300361,3.9,68.45,0,6.8,North,Premium,7410.96
300362,27.8,43.07,6,7.9,South,Premium,5424.23
300363,19.5,104.35,4,6.2,West,Premium,6724.79
300364,13.7,91.36,4,3.6,East,Standard,4884.55
300365,7.0,102.21,1,6.9,South,Basic,5878.53
300366,23.8,75.17,1,3.8,West,Premium,5798.31
300367,21.5,103.04,1,9.6,South,Basic,6798.97
300368,24.4,112.53,6,5.6,West,Standard,5426.47
300369,10.3,130.1,4,6.2,South,Premium,6798.12
300370,30.3,107.53,6,5.1,North,Standard,6662.75
300371,22.7,97.23,3,6.9,West,Standard,7304.47
300372,11.0,54.88,6,7.1,South,Standard,4739.83
300373,38.5,85.44,4,5.1,West,Basic,6013.38
300374,17.5,53.86,4,7.1,East,Basic,3466.31
300375,3.1,68.35,4,6.4,North,Standard,4345.01
300376,11.0,134.92,5,6.1,North,Basic,6338.86
300377,30.1,63.45,5,4.9,South,Premium,6157.44
300378,11.2,31.78,4,10.0,South,Standard,4241.53
300379,15.4,107.52,0,8.4,South,Premium,7385.98
300380,30.7,71.85,4,7.6,South,Premium,7621.76
300381,11.3,106.43,2,8.3,South,Standard,6385.15
300382,25.6,59.92,7,6.8,South,Standard,3984.78
300383,5.5,77.78,6,5.7,North,Premium,5548.39
300384,19.0,116.7,1,1.5,South,Basic,5320.81
300385,18.2,56.27,5,4.1,North,Standard,4042.07
300386,20.2,83.94,1,10.0,West,Basic,6764.81
300387,21.9,94.99,2,8.4,East,Premium,7252.06
300388,15.9,70.74,2,6.7,North,Premium,6306.3
300389,14.6,93.81,3,3.5,East,Standard,5292.04
300390,15.4,88.38,7,7.4,South,Standard,4032.97
300391,37.6,100.83,5,5.8,South,Standard,7148.17
300392,17.1,132.21,1,7.6,South,Standard,7013.17
300393,56.4,152.21,4,4.3,South,Standard,8153.96
300394,21.8,99.12,0,5.4,West,Premium,8169.16
300395,17.1,85.35,2,7.9,North,Basic,6547.45
300396,6.0,98.58,2,9.8,East,Basic,6430.92
300397,26.7,82.43,3,5.1,South,Basic,4113.88
300398,12.7,49.9,5,4.5,South,Standard,3222.01
300399,29.5,86.88,4,8.1,South,Premium,7146.29
300400,8.8,113.97,7,4.0,North,Basic,4717.29
300401,15.3,52.85,3,4.2,North,Standard,5216.0
300402,12.4,64.37,4,6.8,South,Premium,6743.51
300403,25.4,74.03,4,10.0,South,Basic,6322.02
300404,39.6,96.94,4,4.8,West,Premium,6985.59
300405,15.1,145.05,5,5.6,East,Premium,8572.44
300406,11.6,68.58,2,6.5,West,Premium,5718.28
300407,6.3,90.19,4,5.4,West,Basic,3008.5
300408,10.6,88.14,3,3.1,North,Standard,4360.58
300409,39.9,80.77,0,7.7,West,Basic,5621.69
300410,15.2,86.86,4,6.6,West,Basic,4979.58
300411,21.1,76.85,0,7.0,South,Basic,5688.81
300412,4.6,153.83,3,6.0,East,Basic,5891.21
300413,4.4,105.99,7,9.0,South,Premium,5963.3
300414,3.9,77.05,5,5.4,North,Standard,3846.5
300415,33.5,116.41,2,4.4,South,Basic,6419.82
300416,15.7,94.16,2,9.3,North,Standard,6794.52
300417,8.5,89.39,6,2.3,South,Standard,4525.13
300418,27.3,83.63,2,6.0,East,Basic,5939.42
300419,12.3,82.0,6,6.2,North,Basic,5694.17
300420,29.5,58.72,2,6.1,South,Standard,5259.91
300421,15.0,47.83,2,3.5,North,Premium,6386.3
300422,29.7,96.9,3,4.2,West,Basic,5682.72
300423,7.7,83.39,4,8.0,West,Premium,6078.4
300424,20.6,109.06,5,8.8,North,Standard,8801.21
300425,24.2,66.64,1,5.5,West,Standard,4655.86
300426,4.2,61.65,2,4.6,West,Basic,3475.53
300427,15.7,106.63,3,3.1,West,Standard,4629.55
300428,6.1,80.91,0,8.0,West,Standard,5153.2
300429,4.6,108.54,1,8.1,South,Basic,4915.42
300430,12.9,88.8,2,1.2,South,Premium,5601.56
300431,21.2,133.06,6,1.9,West,Standard,5035.69
300432,8.8,106.14,1,6.5,West,Basic,5919.66
300433,13.4,97.83,4,6.8,South,Basic,5891.95
300434,9.9,107.2,7,5.4,South,Basic,4864.77
300435,28.1,81.45,5,6.2,South,Premium,6629.48
300436,35.0,48.57,6,5.9,South,Basic,4862.29
300437,63.5,96.66,3,6.3,East,Standard,9208.11
300438,32.0,134.6,2,4.7,North,Premium,7986.33
300439,22.5,33.03,2,6.3,South,Basic,4252.37
300440,28.1,99.26,3,5.1,South,Standard,6125.18
300441,10.0,51.16,0,4.9,North,Standard,4896.8
300442,12.7,87.44,2,2.9,South,Premium,4673.13
300443,18.4,89.91,1,6.0,South,Standard,5873.0
300444,4.0,105.92,5,7.7,South,Basic,4998.75
300445,9.3,93.04,2,5.7,North,Basic,6429.26
300446,57.7,120.96,4,5.7,South,Standard,7458.08
300447,12.8,115.99,1,8.6,South,Standard,5966.14
300448,3.4,83.28,3,8.1,North,Premium,6682.86
300449,10.8,114.27,5,9.4,East,Basic,5641.69
300450,17.6,80.49,2,10.0,East,Basic,6276.29
300451,21.7,76.36,5,6.4,South,Standard,5698.21
300452,15.1,59.09,5,4.2,East,Basic,3474.6
300453,20.2,119.49,1,5.4,South,Standard,6762.62
300454,9.2,80.8,1,7.3,North,Basic,5666.82
300455,35.7,29.88,4,8.9,South,Premium,6493.17
300456,30.7,101.01,5,4.4,East,Basic,4827.16
300457,2.9,77.58,7,6.8,East,Standard,4889.45
300458,6.8,80.83,7,4.9,West,Standard,3592.19
300459,27.4,82.38,9,6.0,West,Basic,4881.55
300460,19.3,79.92,3,6.0,South,Standard,4607.36
300461,18.6,153.47,4,7.0,West,Standard,8399.43
300462,16.8,127.9,2,10.0,East,Premium,8978.4
300463,32.1,104.78,3,7.2,South,Standard,7230.48
300464,18.8,93.79,6,5.5,South,Standard,5889.78
300465,21.9,115.09,3,5.2,South,Standard,6051.68
300466,17.2,93.85,1,6.0,North,Standard,6679.57
300467,7.4,107.58,3,4.7,North,Premium,6909.19
300468,28.6,101.4,3,6.6,South,Basic,6028.93
300469,12.0,91.08,2,2.0,South,Standard,5182.63
300470,11.9,110.57,8,5.9,North,Premium,6592.45
300471,13.8,77.92,4,6.1,North,Standard,5173.17
300472,5.5,89.4,1,4.2,West,Standard,6144.13
300473,52.1,64.49,1,5.6,South,Premium,7780.44
300474,27.3,67.26,5,8.3,West,Standard,5395.72
300475,7.0,27.3,2,8.4,South,Standard,3706.55
300476,41.8,98.96,7,5.3,South,Basic,5501.6
300477,10.5,105.56,3,7.2,North,Basic,6467.0
300478,11.9,114.05,2,3.6,South,Basic,3948.92
300479,10.4,61.54,4,5.8,South,Premium,4575.95
300480,36.9,98.56,3,6.7,South,Standard,6708.46
300481,32.9,87.98,4,9.0,West,Premium,6982.39
300482,14.1,105.7,5,8.4,South,Basic,5228.76
300483,15.0,72.37,4,6.7,South,Basic,4675.32
300484,26.5,79.93,3,4.7,South,Standard,5215.15
300485,26.0,50.72,4,8.7,East,Basic,4844.3
300486,15.7,70.79,4,5.7,West,Standard,4187.66
300487,16.0,88.07,3,7.1,South,Basic,5284.23
300488,27.6,92.18,3,6.1,South,Basic,4829.72
300489,3.7,47.54,3,9.9,West,Standard,5997.95
300490,20.9,75.73,1,5.2,West,Standard,6922.21
300491,20.0,91.85,3,7.9,East,Basic,5803.76
300492,37.1,121.79,2,6.1,West,Basic,6764.84
300493,22.2,67.72,2,7.3,South,Basic,5814.89
300494,23.8,99.76,1,9.2,South,Basic,7392.5
300495,9.5,74.52,4,2.7,South,Premium,5800.7
300496,10.0,77.3,3,6.2,East,Standard,6647.09
